,English,Arabic,Spanish,Romanian
level2_3,Now we have a patient who is unhappy.,لدينا مريض غير سعيد الآن.,texto,probă 
level2_4,Order matters. We can still make them happy.,مشاكل في الطلبات. لكننا نستطيع أن نجعلهم سعداء.,texto,probă 
level3_0,Hmm*c* I'm sensing some bad vibes.,ممممم، أستشعر بعض المشاعر السيئة,texto,probă 
level3_1,Being Mr. Nice Guy isn't going to cut it anymore.\nYou'll have to make someone unhappy in order to satisfy everyone here.,كونك شخص مهذب، يمنعك ذلك من قطع الدور بعد الآن.\n يتوجب عليك جعل شخص ما غير سعيد من أجل ارضاء الآخرين هنا.,texto,probă 
level_0,Meet your first group of patients.,قابل مجموعتك الأولى من المرضى,texto,probă 
level_1,First*c* choose a patient.,أختر مريضاً أولا.,texto,probă 
level_2,Choose to encourage this patient,اختر لتشجع هذا المريض,texto,probă 
level_3,This makes the patient happy.,هذا يجعل المريض سعيداً,texto,probă 
level_4,It also affects their friends.,ويؤثر ذلك أيضاً على أصدقائه,texto,probă 
level_5,Make everyone happy to succeed.,اجعل الجميع يشعر بلذة النجاح,texto,probă 
levelSuccess,Congratulations*c* You made it through the first day!\n\nYou'll be scored by how many actions you make.,تهانينا، لقد قمت بفعلها في اليوم الأول! \n\nسيتم منحك الدرجة من خلال الاجراءات التي تقوم بها.,texto,probă 
rateIt,I hope you're enjoying Social Sessions.\nIf so please leave a rating!,أتمنى أن تستمتع بالجلسات الاجتماعية. \nإذا كنت بالفعل مستمتعاً، يرجى ترك تقييم للعبة!,texto,probă 
rate,Rate,تقييم,texto,probă 
no,No,لا,texto,probă 
restartLevel_0,You can take as much time as you need to complete a session.,يمكنك أخذ الوقت الكافي لتكمل هذه الجلسة.,texto,probă 
restartLevel_1,However if you want 3 stars*c* then you'll have to do it in as few actions as possible.,ومع ذلك إذا كنت تريد 3 نجوم، يمكنك فعلها بعدة اجراءات قدر الامكان.,texto,probă 
restartLevel_2,Use the Restart button to quickly start a session over if you've made a mistake.,استخدم الزر اعادة تشغيل لكي تبدأ بجلسة أخري في حال قمت بخطأ.,texto,probă 
returnToClipboard,Finish all sessions to move to the next day.,أنهي جميع الجلسات لتتحرك الى اليوم التالي.,texto,probă 
showMe,If you get stuck*c* feel free to give me a call.\n\nI'll be happy to help.,إذا واجهت صعوبة، لا تتردد أن تتصل بي. \n\nسأكون سعيد للمساعدة.,texto,probă 
special_cantTouch0,It's a new week!\n\nLet me see what you can expect this week...,انه أسبوع جديد! \n\nدعني أري ما تتوقعه هذا الأسبوع...,texto,probă 
special_cantTouch1,Some groups are special.\n\nWhen you see this symbol there will be one person that you will not be allowed to interact with.,بعض المجموعات خاصة. \n\nعندما ترى هذا الرمز، سيكون هناك شخص واحد لا يسمح لك التفاعل معه.,texto,probă 
special_cantTouch2,There will be other types of special groups in future weeks as well.,سيكون هناك أنواع أخرى من المجموعات الخاصة في الأسابيع المقبلة أيضاً.,texto,probă 
special_fallToRed,When you see this symbol people will become upset if you do not interact with them quickly enough.,عندما ترى هذا الرمز، سيصبح الناس منزعجين لو لم تتفاعل معهم بسرعة كافية.,texto,probă 
special_noLines,When you see this symbol you won't be able to\nsee how your patients are connected with\none another.,عندما ترى هذا الرمز، ستكون غير قادر على رؤية كيف يتصل المرضى مع بعضهم البعض.,texto,probă 
special_oneClick,When you see this symbol you will only be allowed to interact with each person one time.,عندما ترى هذا الرمز، يُسمح لك فقط بالتفاعل مع كل شخص في وقت واحد.,texto,probă 
tip2_1,Tip:\n\nSome groups aren't very friendly with each other. Even with a lot of enemies in a group*c* you can still help them...,نصيحة: \n\nبعض المجموعات غير صديقة لبعضها البعض. حتى يوجد الكثير من الأعداء في المجموعة، يمكنك الاستمرار في مساعدتهم...,texto,probă 
tip2_2,For example*c* some of these have no friends.,على سبيل المثال، بعض هذه المجموعات لا يوجد لها أصدقاء.,texto,probă 
tip2_3,You can still make them happy indirectly...,يمكنك جعلهم يشعرون بالسعادة بشكل غير مباشر...,texto,probă 
tip2_4,We'll have to find another way to make them happy...,علينا العثور على طريقة أخرى لجعلهم سعداء,texto,probă 
tip2_5,Luckily there's still someone you can discourage to make him happy.,لحسن الحظ مازال هناك شخص واحد لتثني عليه لتجعله يشعر بالسعادة.,texto,probă 
tip2_6,And finally*c* he has a friend*c* so you can easily make them both happy!,وأخيراً، أصبح لديه صديقاً، لذلك يمكنها جعل الاثنين سعداء.,texto,probă 
tip2_7,It might help to think of it in a straight line.,قد يساعد أن تفكر بها بشكل مستقيم.,texto,probă 
tip2_8,Start by discouraging the second to last one...,ابدأ من خلال احباط الثاني حتى الأخير...,texto,probă 
tip2_9,... it doesn't matter how many enemies there are in a row...,لا يهم كم هو عدد الأعداء في كل سطر...,texto,probă 
tip2_10,...just keep discouraging one to make the one behind it happy...,فقط استمر في احباط شخص ما لتجعل الشخص الذي وراءه سعيداً...,texto,probă 
tip2_11,...and if you can find a friend eventually...,وإذا كنت تريد العثور على شخص في نهاية المطاف...,texto,probă 
tip2_12,...then you'll be able to make everyone happy!,ستكون قادر على جعل الجميع سعداء,texto,probă 
tip2_13,So keep an eye out for groups like this that have a line of enemies and then a friend.,ثم ألقى نظرة على المجموعات مثل هذه التي تمتلك خط من الأعداء وصديق.,texto,probă 
tip3_1,Tip:\n\nYour final action must be an encouragement*c* and it must be with someone who only has friends and no enemies.,نصيحة: \n\nاجراءك الأخير يجب أن يكون تشجيعاً ويجب ان يكون مع شخص يمتلك أصدقاء ولا يمتلك اعداء.,texto,probă 
tip3_2,Sometimes it's helpful to figure out your last action*c* first.,في بعض الأحيان يكون من المفيد معرفة الاجراء الأخير,texto,probă 
tip3_3,Find someone with only friends for your last action,أعثر على شخص مع أصدقاء فقط لإجرائك الأخير,texto,probă 
tip3_4,There has to be at least one*c* or the session would be impossible.,يجب أن يكون هناك واحد على الأقل، أو ستكون المهمة مستحيلة.,texto,probă 
tip3_5,Now*c* you just need to make everyone else happy first.,الآن، يتوجب عليك جعل الجميع سعداء أولا,texto,probă 
tip3_6,Then*c* you know that your final action will make him and all of his friends happy,ثم تعلم أن اجراءك الأخير سيجعل جميع أصدقاءك يشعرون بالسعادة.,texto,probă 
UpgradeChoice,Unlock full game:,افتح اللعبة بشكل كامل:,texto,probă 
UpgradeFinal,Thank you for trying Social Sessions!\n\nUpgrade now to keep playing:\n-29 more levels!\n-3 more Special Modes!\n-No more ads!,أشكرك لتجربة الجلسات الاجتماعية! \nقم بالترقية الآن واستمر في اللعب: أكثر من 29 مستوى! \n- وثلاث أوضاع خاصة اضافية! \n- لا يوجد اعلانات!,texto,probă 
ShowMe1,To view the solution*c* watch this quick ad.,لترى الحل، شاهد هذا الاعلان السريع.,texto,probă 
ShowMe2,After that*c* you can view it whenever you want.,بعد ذلك، يمكنك مساعدته وقتما شئت.,texto,probă 
ShowMe3,Upgrade to full to never show ads.,قم بترقية اللعبة بشكل كامل كي لا تشاهد الاعلانات.,texto,probă 
WatchIt,Watch it,شاهدها,texto,probă 
UpgradeNow,Upgrade Now,قم بالترقية الآن,texto,probă 
SOCIAL,SOCIAL,اجتماعي,texto,probă 
SESSIONS,SESSIONS,جلسات,texto,probă 
Play,PLAY,العب,texto,probă 
Options,OPTIONS,خيارات,texto,probă 
ViewCredits,View Credits,شاهد الرصيد,texto,probă 
Leaderboard,Leaderboard,المتصدرين,texto,probă 
RestorePurchases,Restore Purchases,استعادة مشتريات,texto,probă 
ClearProgress,Clear Progress,امسح التقدم,texto,probă 
BACK,BACK,رجوع,texto,probă 
Back,Back,رجوع,texto,probă 
DaysComplete,Days Complete,الأيام المكتملة,texto,probă 
StarsEarned,Stars Earned,النجوم المكتسبة,texto,probă 
NextWeek,Next\nWeek,الأسبوع\nالمقبل,texto,probă 
LastWeek,Last\nWeek,الأسبوع\nالماضي,texto,probă 
MainMenu,Main\nMenu,القائمة\nالرئيسية,texto,probă 
Done,Done,تم,texto,probă 
Retry,Retry,إعادة المحاولة,texto,probă 
Diagnosis,Diagnosis,تشخيص,texto,probă 
ActionsTaken,actions\ntaken,الإجراءات\nالمتخذة,texto,probă 
StarsAwarded,stars\nawarded,النجوم\nالممنوحة,texto,probă 
Monday,MONDAY,الاثنين,texto,probă 
Tuesday,TUESDAY,الثلاثاء,texto,probă 
Wednesday,WEDNESDAY,الاربعاء,texto,probă 
Thursday,THURSDAY,الخميس,texto,probă 
Friday,FRIDAY,الجمعة,texto,probă 
of,of,من,texto,probă 
sessions,sessions,جلسات,texto,probă 
stars,stars,نجوم,texto,probă 
Day,Day,يوم,texto,probă 
Trivial,Trivial,غير مهم,texto,probă 
Minor,Minor,ثانوي,texto,probă 
Major,Major,رئيسي,texto,probă 
Critical,Critical,هام,texto,probă 
Patients,Patients,المرضى,texto,probă 
Issues,Issues,مشاكل,texto,probă 
Reveal,Reveal,اكشف,texto,probă 
positiveComment01,I appreciate that,أنا أقدر ذلك,texto,probă 
positiveComment02,Thank you,شكراً لك,texto,probă 
positiveComment03,Do you really mean that?,هل تعني ذلك حقاً؟,texto,probă 
positiveComment04,You're just saying that,أنت تقول أن,texto,probă 
positiveComment05,Aww*c* shucks,أوو، قشر!,texto,probă 
positiveComment06,You just made my day,أنت جعلت يومي,texto,probă 
positiveComment07,Worth every penny,يستحق كل قرش,texto,probă 
positiveComment08,Am I your favorite?,هل أنا المفضل لديك؟,texto,probă 
positiveComment09,My glass is half full now,كوبي نصف ممتلئ,texto,probă 
positiveComment10,You're the best,أنت الأفضل,texto,probă 
positiveComment11,I'm glad I got up this morning,أنا سعيد لأنني استيقظت هذا الصباح,texto,probă 
positiveComment12,Yippee!,ييب!,texto,probă 
positiveComment13,What a kind soul,ما نوع الروح,texto,probă 
positiveComment14,Likewise,بالمثل,texto,probă 
positiveComment15,Gracias,غراسياس,texto,probă 
positiveComment16,You inspire me,أنت تلهمني,texto,probă 
positiveComment17,Gee whiz,جي ويز,texto,probă 
positiveComment18,I feel warm inside,أشعر بدفء داخلي,texto,probă 
negativeComment01,I thought I could trust you,اعتقدت أنه يمكنني أن أثق بك,texto,probă 
negativeComment02,Why am I paying you for this?,لماذا أدفع لك لهذا؟,texto,probă 
negativeComment03,Maybe I don't get your humor,ربما لا أمتلك حس الدعابة مثلك,texto,probă 
negativeComment04,You don't really mean that,أنت لا تقصد ذلك حقاً,texto,probă 
negativeComment05,It's all meaningless,كل شيء لا معنى له,texto,probă 
negativeComment06,What kind of advice is that?,ما نوع هذه النصيحة؟,texto,probă 
negativeComment07,Can I see your credentials?,هل يمكنني رؤية بيانات الاعتماد الخاصة بك؟,texto,probă 
negativeComment08,How dare you,كيف تتجرأ,texto,probă 
negativeComment09,This is not going my way,هذا لن يعترض طريقي,texto,probă 
negativeComment10,Sticks and stones... nevermind,العصي والحجارة ... لا بأس,texto,probă 
negativeComment11,Why?,لماذا؟,texto,probă 
negativeComment12,You're cruel,أنت قاسي,texto,probă 
negativeComment13,Is this for the greater good?,هل هذا من أجل تحقيق الخير؟,texto,probă 
boredComment01,Should I go and come back?,هل ينبغي أن أذهب وأعود؟,texto,probă 
boredComment02,Am I paying for this time?,هل يتوجب أن أدفع لهذه المرة؟,texto,probă 
boredComment03,Are we still on the clock?,هل ما زلنا على مدار الساعة؟,texto,probă 
boredComment04,I think I just fell asleep,أعتقد أنني ذهبت في النوم,texto,probă 
boredComment05,Make me happy please,اجعلني سعيداً من فضلك,texto,probă 
boredComment06,Are you still there?,هل ما زلت هناك؟,texto,probă 
boredComment07,You just take your time,خذ وقتك,texto,probă 
boredComment08,Don't let me rush you,لا تدعني أستعجلك,texto,probă 
boredComment09,I'm getting veeery sleeepy,انني أشعر بنعاس شديد,texto,probă 
boredComment10,Can I just get some pills?,هل يمكنني الحصول على بعض حبوب الدواء؟,texto,probă 
boredComment11,Are we there yet?,هل وصلنا هناك؟,texto,probă 
Language,Language,لغة,idioma,limba 
